name,industry,symbol
3M India Ltd.,SERVICES,3MINDIA
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB
ABG Shipyard Ltd.,INDUSTRIAL MANUFACTURING,ABGSHIP
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG
Aarti Industries Ltd.,CHEMICALS,AARTIIND
Aban Offshore Ltd.,ENERGY,ABAN
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Adani Power Ltd.,ENERGY,ADANIPOWER
Adlabs Entertainment Ltd.,SERVICES,ADLABS
Advanta Ltd.,CONSUMER GOODS,ADVANTA
Agro Tech Foods Ltd.,CONSUMER GOODS,ATFL
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD
Allahabad Bank,FINANCIAL SERVICES,ALBK
Allcargo Logistics Ltd.,SERVICES,ALLCARGO
Alok Industries Ltd.,TEXTILES,ALOKTEXT
Alstom India Ltd.,INDUSTRIAL MANUFACTURING,AIL
Alstom T&D India Ltd.,INDUSTRIAL MANUFACTURING,ALSTOMT&D
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Amtek Auto Ltd.,AUTOMOBILE,AMTEKAUTO
Anant Raj Ltd.,CONSTRUCTION,ANANTRAJ
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS
Apollo Hospitals Enterprises Ltd.,HEALTHCARE SERVICES,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL
Atul Ltd.,CHEMICALS,ATUL
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Automotive Axles Ltd.,AUTOMOBILE,AUTOAXLES
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
BASF India Ltd.,CHEMICALS,BASF
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND
Ballarpur Industries Ltd.,PAPER,BALLARPUR
Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Bata India Ltd.,CONSUMER GOODS,BATAINDIA
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL
Bharti Airtel Ltd.,TELECOM,BHARTIARTL
Bharti Infratel Ltd.,TELECOM,INFRATEL
Bhushan Steel Ltd.,METALS,BHUSANSTL
Biocon Ltd.,PHARMA,BIOCON
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN
Blue Dart Express Ltd.,SERVICES,BLUEDART
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING
Bosch Ltd.,AUTOMOBILE,BOSCHLTD
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
CARE Ltd.,FINANCIAL SERVICES,CARERATING
CESC Ltd.,ENERGY,CESC
